bean_name;bean_details;attribute_name
HotSpotDiagnostic;DiagnosticOptions.value#4;HotSpotDiagnostic.DiagnosticOptions.value#4
HotSpotDiagnostic;DiagnosticOptions.writeable#4;HotSpotDiagnostic.DiagnosticOptions.writeable#4
HotSpotDiagnostic;DiagnosticOptions.name#5;HotSpotDiagnostic.DiagnosticOptions.name#5
HotSpotDiagnostic;DiagnosticOptions.origin#5;HotSpotDiagnostic.DiagnosticOptions.origin#5
HotSpotDiagnostic;DiagnosticOptions.value#5;HotSpotDiagnostic.DiagnosticOptions.value#5
HotSpotDiagnostic;DiagnosticOptions.writeable#5;HotSpotDiagnostic.DiagnosticOptions.writeable#5
HotSpotDiagnostic;DiagnosticOptions.name#6;HotSpotDiagnostic.DiagnosticOptions.name#6
HotSpotDiagnostic;DiagnosticOptions.origin#6;HotSpotDiagnostic.DiagnosticOptions.origin#6
HotSpotDiagnostic;DiagnosticOptions.value#6;HotSpotDiagnostic.DiagnosticOptions.value#6
HotSpotDiagnostic;DiagnosticOptions.writeable#6;HotSpotDiagnostic.DiagnosticOptions.writeable#6
HotSpotDiagnostic;DiagnosticOptions.name#7;HotSpotDiagnostic.DiagnosticOptions.name#7
HotSpotDiagnostic;DiagnosticOptions.origin#7;HotSpotDiagnostic.DiagnosticOptions.origin#7
HotSpotDiagnostic;DiagnosticOptions.value#7;HotSpotDiagnostic.DiagnosticOptions.value#7
HotSpotDiagnostic;DiagnosticOptions.writeable#7;HotSpotDiagnostic.DiagnosticOptions.writeable#7
HotSpotDiagnostic;DiagnosticOptions.name#8;HotSpotDiagnostic.DiagnosticOptions.name#8
HotSpotDiagnostic;DiagnosticOptions.origin#8;HotSpotDiagnostic.DiagnosticOptions.origin#8
HotSpotDiagnostic;DiagnosticOptions.value#8;HotSpotDiagnostic.DiagnosticOptions.value#8
HotSpotDiagnostic;DiagnosticOptions.writeable#8;HotSpotDiagnostic.DiagnosticOptions.writeable#8
HotSpotDiagnostic;DiagnosticOptions.name#9;HotSpotDiagnostic.DiagnosticOptions.name#9
HotSpotDiagnostic;DiagnosticOptions.origin#9;HotSpotDiagnostic.DiagnosticOptions.origin#9
HotSpotDiagnostic;DiagnosticOptions.value#9;HotSpotDiagnostic.DiagnosticOptions.value#9
HotSpotDiagnostic;DiagnosticOptions.writeable#9;HotSpotDiagnostic.DiagnosticOptions.writeable#9
HotSpotDiagnostic;DiagnosticOptions.name#10;HotSpotDiagnostic.DiagnosticOptions.name#10
HotSpotDiagnostic;DiagnosticOptions.origin#10;HotSpotDiagnostic.DiagnosticOptions.origin#10
HotSpotDiagnostic;DiagnosticOptions.value#10;HotSpotDiagnostic.DiagnosticOptions.value#10
